movie_id,movie_title,movie_rank,movie_year,movie_runtime,movie_rating,movie_votes,movie_genres
tt8695030,The Dead Don't Die,193.,2019,104 min,5.4,"79,273","Comedy, Fantasy, Horror           "
tt8623904,Last Christmas,194.,2019,103 min,6.5,"78,727","Comedy, Drama, Fantasy           "
tt4575576,Christopher Robin,195.,2018,104 min,7.2,"78,660","Adventure, Comedy, Drama           "
tt1634106,Bloodshot,196.,2020,109 min,5.7,"78,505","Action, Adventure, Sci-Fi           "
tt1226837,Beautiful Boy,197.,2018,120 min,7.3,"78,374","Biography, Drama           "
tt6663582,The Spy Who Dumped Me,198.,2018,117 min,6.0,"78,369","Action, Adventure, Comedy           "
tt3387520,Scary Stories to Tell in the Dark,199.,2019,108 min,6.2,"77,759","Adventure, Horror, Mystery           "
tt4003440,The House That Jack Built,200.,2018,152 min,6.8,"77,746","Crime, Drama, Horror           "
tt8075192,Shoplifters,201.,2018,121 min,7.9,"77,223","Crime, Drama, Thriller           "
tt8350360,Annabelle Comes Home,202.,2019,106 min,5.9,"76,682","Horror, Mystery, Thriller           "
tt3861390,Dumbo,203.,2019,112 min,6.3,"76,635","Adventure, Family, Fantasy           "
tt7014006,Eighth Grade,204.,2018,93 min,7.4,"76,456","Comedy, Drama           "
tt4332232,Fractured,205.,2019,99 min,6.4,"76,349",Thriller           
tt10618286,Mank,206.,2020,131 min,6.8,"75,797","Biography, Comedy, Drama           "
tt8155288,Happy Death Day 2U,207.,2019,100 min,6.2,"75,538","Comedy, Horror, Mystery           "
tt5220122,Hotel Transylvania 3: Summer Vacation,208.,2018,97 min,6.3,"75,164","Animation, Adventure, Comedy           "
tt6921996,Johnny English Strikes Again,209.,2018,89 min,6.2,"75,120","Action, Adventure, Comedy           "
tt6977338,Good Boys,210.,2019,90 min,6.7,"74,924","Adventure, Comedy           "
tt4532826,Robin Hood,211.,2018,116 min,5.3,"74,569","Action, Adventure, Drama           "
tt5033998,Charlie's Angels,212.,2019,118 min,4.9,"74,248","Action, Adventure, Comedy           "
tt10280276,Coolie No. 1,213.,2020,134 min,4.2,"73,650","Action, Comedy, Romance           "
tt2990140,The Christmas Chronicles,214.,2018,104 min,7.0,"73,330","Adventure, Comedy, Family           "
tt6679794,Outlaw King,215.,2018,121 min,6.9,"73,020","Action, Biography, Drama           "
tt1137450,Death Wish,216.,2018,107 min,6.3,"72,794","Action, Crime, Drama           "
tt2709692,The Grinch,217.,2018,85 min,6.3,"71,464","Animation, Comedy, Family           "
tt2452244,Isn't It Romantic,218.,2019,89 min,5.9,"70,532","Comedy, Fantasy, Musical           "
tt5719748,Cold Pursuit,219.,2019,119 min,6.2,"69,962","Action, Comedy, Crime           "
tt8359848,Climax,220.,2018,97 min,6.9,"69,471","Drama, Horror, Music           "
tt10059518,Unhinged,221.,2020,90 min,6.0,"69,307","Action, Thriller           "
tt9686708,The King of Staten Island,222.,2020,136 min,7.1,"68,698","Comedy, Drama           "
tt4916630,Just Mercy,223.,2019,137 min,7.6,"68,289","Biography, Crime, Drama           "
tt7638348,Boss Level,224.,2020,100 min,6.8,"68,285","Action, Adventure, Comedy           "
tt8688634,21 Bridges,225.,2019,99 min,6.6,"68,062","Action, Crime, Drama           "
tt6472976,Five Feet Apart,226.,2019,116 min,7.2,"67,920","Drama, Romance           "
tt3513498,The Lego Movie 2: The Second Part,227.,2019,107 min,6.6,"67,525","Animation, Action, Adventure           "
tt4477536,Fifty Shades Freed,228.,2018,105 min,4.5,"66,785","Drama, Romance, Thriller           "
tt9866072,Holidate,229.,2020,104 min,6.1,"66,704","Comedy, Romance           "
tt5613484,Mid90s,230.,2018,85 min,7.3,"66,375","Comedy, Drama           "
tt7282468,Burning,231.,2018,148 min,7.5,"65,683","Drama, Mystery, Thriller           "
tt6850820,Peppermint,232.,2018,101 min,6.5,"65,630","Action, Thriller           "
tt4971344,The Sisters Brothers,233.,2018,122 min,6.9,"65,473","Drama, Western           "
tt6673612,Dolittle,234.,2020,101 min,5.6,"65,173","Adventure, Comedy, Family           "
tt8637428,The Farewell,235.,2019,100 min,7.5,"64,931","Comedy, Drama           "
tt5461944,Hotel Mumbai,236.,2018,123 min,7.6,"64,814","Action, Drama, History           "
tt6133466,The First Purge,237.,2018,97 min,5.2,"64,780","Action, Horror, Sci-Fi           "
tt8291224,Uri: The Surgical Strike,238.,2019,138 min,8.2,"64,483","Action, Drama, History           "
tt1846589,Hunter Killer,239.,2018,121 min,6.6,"64,209","Action, Thriller           "
tt4244998,Alpha,240.,2018,96 min,6.6,"63,094","Action, Adventure, Drama           "
tt5113040,The Secret Life of Pets 2,241.,2019,86 min,6.4,"62,877","Animation, Adventure, Comedy           "
tt2388771,Mowgli: Legend of the Jungle,242.,2018,104 min,6.5,"62,531","Adventure, Drama, Fantasy           "
tt6902676,Guns Akimbo,243.,2019,98 min,6.3,"62,429","Action, Comedy, Crime           "
tt7043012,Velvet Buzzsaw,244.,2019,113 min,5.7,"61,942","Horror, Mystery, Thriller           "
tt8368512,The Courier,245.,2020,112 min,7.2,"61,846","Drama, History, Thriller           "
tt5726086,Insidious: The Last Key,246.,2018,103 min,5.7,"61,506","Horror, Mystery, Thriller           "
tt8526872,Dolemite Is My Name,247.,2019,118 min,7.2,"61,326","Biography, Comedy, Drama           "
tt1298644,The Hustle,248.,2019,93 min,5.4,"60,426","Comedy, Crime           "
tt3892172,Leave No Trace,249.,2018,109 min,7.1,"60,368","Adventure, Drama           "
tt8368406,Vivarium,250.,2019,97 min,5.8,"60,197","Horror, Mystery, Sci-Fi           "
tt5610554,Tully,251.,2018,95 min,6.9,"59,824","Comedy, Drama, Mystery           "
tt6475714,Monster Hunter,252.,2020,103 min,5.2,"59,655","Action, Adventure, Fantasy           "
tt6742252,The Guilty,253.,2018,85 min,7.5,"59,537","Crime, Drama, Thriller           "
tt10919380,Freaky,254.,2020,102 min,6.3,"59,015","Comedy, Horror, Thriller           "
tt8291806,Pain and Glory,255.,2019,113 min,7.5,"58,734",Drama           
tt11032374,Demon Slayer the Movie: Mugen Train,256.,2020,117 min,8.2,"58,157","Animation, Action, Adventure           "
tt0385887,Motherless Brooklyn,257.,2019,144 min,6.8,"58,025","Crime, Drama, Mystery           "
tt6543652,Cold War,258.,2018,89 min,7.5,"57,615","Drama, Music, Romance           "
